124,EPIC 201841433 b,1442,1.37,14.867,2019,Super Earth,1.1,Unknown,4.2,0,EPIC 201841433,Transit,,,11h40m49.63s,+06d08m05.5s,,0.8,,11.11798255
125,EPIC 205950854 c,801,2.27,12.291,2019,Super Earth,1.31,Unknown,8.1,0,K2-168,Transit,89.81,,22h12m26.37s,-16d20m30.3s,5502.7,0.88,0.83,12.98895036
126,EPIC 206024342 b,1219,3.53,13.116,2019,Super Earth,1.7,Unknown,4.5,0,EPIC 206024342,Transit,,,22h05m06.53s,-14d07m18.0s,,0.93,,11.99409968
127,EPIC 206032309 b,529,1.01,16.069,2019,Super Earth,1.01,Unknown,2.9,0,EPIC 206032309,Transit,,,22h44m57.77s,-13d54m03.3s,,0.22,,9.722308943
128,EPIC 206042996 b,1492,3.26,16.743,2019,Super Earth,1.62,Unknown,5.3,0,EPIC 206042996,Transit,,,22h30m03.26s,-13d36m36.4s,,0.56,,12.19771164
129,EPIC 206215704 b,360,0.666,16.172,2019,Terrestrial,0.9,Unknown,2.3,0,EPIC 206215704,Transit,,,22h20m22.76s,-09d30m34.3s,,0.41,,8.073837449
130,EPIC 206317286 b,1035,0.84,14.051,2019,Terrestrial,0.96,Unknown,1.6,0,EPIC 206317286,Transit,,,22h30m28.22s,-07d58m20.7s,,0.71,,8.950094301
131,EPIC 211822797 b,611,4.58,15.256,2016,Super Earth,1.98,0.131,21.2,0.06,EPIC 211822797,Transit,89.73,,08h41m38.49s,+17d38m24.0s,4148.21,0.66,0.57,11.47165001
132,EPIC 211945201 b,596,27,10.154,2018,Neptune-like,5.7568,0.1493 AU,19.5,0,EPIC 211945201,Transit,,,09h06m17.75s,+19d24m08.1s,6069,1.17,1.39,8.000042092
133,EPIC 212297394 b,1381,2.31,14.423,2019,Super Earth,1.323,Unknown,2.3,0,EPIC 212297394,Transit,,,13h48m49.49s,-17d36m35.7s,,0.83,,12.95934593
134,EPIC 212424622 b,2031,5.35,13.354,2019,Neptune-like,2.17,Unknown,18.1,0,EPIC 212424622,Transit,,,13h29m19.54s,-14d21m34.1s,,1.11,,11.15642642
135,EPIC 212499991 b,932,3.19,13.552,2019,Super Earth,1.6,Unknown,34.9,0,EPIC 212499991,Transit,,,13h29m57.30s,-12d44m05.0s,,0.91,,12.23605749
